uri,name,dynasty,ocre,AV,AR,AE,worn,notes,year
http://nomisma.org/id/licinius_ii,Licinius II,Constantine-Licinius,http://numismatics.org/ocre/results?q=portrait_facet:%22Licinius II%22,http://ww2.smb.museum/mk_edit/images/n1/1166/vs_opt.jpg,,http://numismatics.org/collectionimages/19501999/1984/1984.146.517.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.11312.obv.width350.jpg,,308 AD- 337 AD
http://nomisma.org/id/helena,Helena,Constantinides,http://numismatics.org/ocre/results?q=portrait_facet:%22Helena%22,,,http://numismatics.org/collectionimages/19501999/1984/1984.146.1536.obv.width350.jpg|http://numismatics.org/collectionimages/19001949/1944/1944.100.23773.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.20581.obv.width350.jpg,,324 AD- 340 AD
http://nomisma.org/id/flavia_iulia_constantia,Flavia Iulia Constantia,Constantinides,http://numismatics.org/ocre/results?q=portrait_facet:%22Flavia Iulia Constantia%22,,,,,No Examples found,326 AD- 327 AD
http://nomisma.org/id/constantine_ii,Constantine II,Constantinides,http://numismatics.org/ocre/results?q=portrait_facet:%22Constantine II%22,http://ww2.smb.museum/mk_edit/images/n46/46036/vs_opt.jpg,http://ww2.smb.museum/mk_edit/images/n46/46042/vs_opt.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.13154.obv.width350.jpg|http://ww2.smb.museum/mk_edit/images/n2/2647/vs_opt.jpg|http://numismatics.org/collectionimages/19001949/1944/1944.100.20741.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.13490.obv.width350.jpg,,317 AD- 340 AD
http://nomisma.org/id/theodora,Theodora,Constantinides,http://numismatics.org/ocre/results?q=portrait_facet:%22Theodora%22,,,http://ww2.smb.museum/mk_edit/images/n0/666/vs_opt.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.20594.obv.width350.jpg,,337 AD- 340 AD
http://nomisma.org/id/constantius_ii,Constantius II,Constantinides,http://numismatics.org/ocre/results?q=portrait_facet:%22Constantius II%22,http://numismatics.org/collectionimages/19001949/1944/1944.100.13273.obv.width350.jpg|http://numismatics.org/collectionimages/19501999/1956/1956.184.9.obv.width350.jpg|http://numismatics.org/collectionimages/19501999/1957/1957.172.1018.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n0/881/vs_opt.jpg|http://numismatics.org/collectionimages/00001899/0000/0000.999.8971.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n6/6606/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n6/6615/vs_opt.jpg,http://numismatics.org/collectionimages/19501999/1994/1994.123.281.obv.width350.jpg,,324 AD- 361 AD
http://nomisma.org/id/constans,Constans,Constantinides,http://numismatics.org/ocre/results?q=portrait_facet:%22Constans%22,http://numismatics.org/collectionimages/19001949/1944/1944.100.21972.obv.width350.jpg|http://ww2.smb.museum/mk_edit/images/n2/2815/vs_opt.jpg|http://ww2.smb.museum/mk_edit/images/n0/876/vs_opt.jpg,http://numismatics.org/collectionimages/19501999/1967/1967.153.62.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.11415.obv.width350.jpg|http://numismatics.org/collectionimages/19501999/1984/1984.146.2169.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.20604.obv.width350.jpg,,333 AD- 350 AD/347 AD- 355 AD
http://nomisma.org/id/dalmatius,Dalmatius,Constantinides,http://numismatics.org/ocre/results?q=portrait_facet:%22Dalmatius%22,,,http://numismatics.org/collectionimages/19001949/1944/1944.100.11422.obv.width350.jpg|http://numismatics.org/collectionimages/19501999/1984/1984.146.911.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.13503.obv.width350.jpg,AV and AR images found in BM,335 AD- 337 AD
http://nomisma.org/id/hannibalianus,Hannibalianus,Constantinides,http://numismatics.org/ocre/results?q=portrait_facet:%22Hannibalianus%22,,,http://numismatics.org/collectionimages/19001949/1919/1919.1.1.obv.width350.jpg,http://ww2.smb.museum/mk_edit/images/n1/1276/vs_opt.jpg,AR images found in BM,335 AD- 337 AD
http://nomisma.org/id/constantius_gallus,Constantius Gallus,Constantinides,http://numismatics.org/ocre/results?q=portrait_facet:%22Constantius Gallus%22,http://numismatics.org/collectionimages/19501999/1967/1967.153.65.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1966/1966.103.1.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.20572.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.21930.obv.width350.jpg,,347 AD- 355 AD
